excel_row,stop_id,id,id_num,csv_stop_id,retained_rows,unique_month_hours,station_latitude,station_longitude,weather_latitude,weather_longitude,max_coordinate_offset_degrees
2,0,0,0,0,288,288,47.7682,12.947,47.80000000000023,12.9000000000001,0.046999999999899345
3,1,1,1,1,288,288,48.1577,15.9414,48.20000000000023,15.90000000000009,0.04230000000023182
4,9,9,9,9,288,288,48.3808,16.2039,48.40000000000023,16.20000000000009,0.019200000000232365
5,12,12,12,12,288,288,48.3107,16.5153,48.30000000000023,16.500000000000096,0.015299999999903946
6,14,14,14,14,288,288,48.3019,14.3189,48.30000000000023,14.300000000000097,0.01889999999990266
7,30,30,30,30,288,288,48.1339,14.8369,48.10000000000023,14.800000000000091,0.03689999999990867
8,40,40,40,40,288,288,47.8451,14.1699,47.80000000000023,14.200000000000095,0.045099999999770546
9,43,43,43,43,288,288,47.9211,13.5004,47.90000000000023,13.500000000000098,0.021099999999769636
10,46,46,46,46,288,288,47.6796,16.1228,47.70000000000022,16.10000000000009,0.022799999999911336
11,47,47,47,47,288,288,47.6789,13.1231,47.70000000000022,13.1000000000001,0.023099999999901755
12,53,53,53,53,288,288,47.5186,12.0666,47.50000000000022,12.100000000000104,0.03340000000010512
13,54,54,54,54,288,288,47.4873,13.1894,47.50000000000022,13.2000000000001,0.012700000000222644
14,59,59,59,59,288,288,47.4725,14.585,47.50000000000022,14.600000000000094,0.02750000000022368
15,65,65,65,65,288,288,47.3735,14.9921,47.40000000000022,15.000000000000092,0.026500000000218904
16,70,70,70,70,288,288,47.3126,13.3967,47.30000000000022,13.400000000000098,0.012599999999785894
17,84,84,84,84,288,288,47.1489,10.3751,47.100000000000215,10.400000000000109,0.048899999999783006
18,85,85,85,85,288,288,47.1817,10.6209,47.200000000000216,10.600000000000108,0.02089999999989267
19,95,95,95,95,288,288,47.0353,15.4173,47.00000000000021,15.400000000000093,0.03529999999978628
20,101,101,101,101,288,288,46.8133,13.5028,46.80000000000021,13.500000000000098,0.013299999999787815
21,105,105,105,105,288,288,46.7369,13.079,46.70000000000021,13.1000000000001,0.03689999999978966
22,108,108,108,108,288,288,46.7291,15.6161,46.70000000000021,15.60000000000009,0.029099999999793624
23,117,117,117,117,288,288,48.1853,15.797,48.20000000000023,15.80000000000009,0.014700000000232194
24,121,121,121,121,288,288,47.6487,12.1972,47.60000000000022,12.200000000000102,0.04869999999977637
25,131,131,131,131,288,288,48.0329,16.3369,48.00000000000023,16.300000000000093,0.036899999999906896
26,132,132,132,132,288,288,48.0046,13.8524,48.00000000000023,13.900000000000096,0.0476000000000969
27,135,135,135,135,288,288,47.1408,9.9254,47.100000000000215,9.90000000000011,0.04079999999978412
28,142,142,142,142,288,288,46.5453,14.2521,46.500000000000206,14.300000000000097,0.0479000000000962
29,143,143,143,143,288,288,48.5652,16.0647,48.60000000000024,16.10000000000009,0.035300000000091813
30,151,151,151,151,288,288,48.1863,14.0611,48.20000000000023,14.100000000000096,0.03890000000009586
31,162,162,162,162,288,288,47.9887,16.2251,48.00000000000023,16.20000000000009,0.025099999999909528
32,164,164,164,164,288,288,47.9733,16.8407,48.00000000000023,16.8000000000001,0.04069999999989804
33,174,174,174,174,288,288,47.6412,14.3315,47.60000000000022,14.300000000000097,0.04119999999977608
34,188,188,188,188,288,288,47.4208,13.6629,47.40000000000022,13.700000000000095,0.037100000000094724
35,191,191,191,191,288,288,48.1899,15.4084,48.20000000000023,15.400000000000093,0.010100000000228704
36,205,205,205,205,288,288,47.2187,9.5704,47.200000000000216,9.600000000000112,0.029600000000112203
37,213,213,213,213,288,288,47.1455,15.3308,47.100000000000215,15.300000000000091,0.045499999999783824
38,217,217,217,217,288,288,47.1177,13.5777,47.100000000000215,13.600000000000096,0.022300000000095466
39,235,235,235,235,288,288,46.7047,14.3603,46.70000000000021,14.400000000000096,0.03970000000009577
40,245,245,245,245,288,288,48.3477,14.4544,48.30000000000023,14.500000000000094,0.04769999999977159
41,259,259,259,259,288,288,47.4365,9.7235,47.40000000000022,9.700000000000111,0.03649999999978348
42,264,264,264,264,288,288,47.082,15.7396,47.100000000000215,15.70000000000009,0.039599999999909485
43,267,267,267,267,288,288,48.1961,14.5272,48.20000000000023,14.500000000000094,0.02719999999990641
44,276,276,276,276,288,288,48.406,13.4283,48.40000000000023,13.400000000000098,0.02829999999990207
45,287,287,287,287,288,288,48.1876,16.339,48.20000000000023,16.300000000000093,0.038999999999905555
46,289,289,289,289,288,288,48.1416,16.5095,48.10000000000023,16.500000000000096,0.041599999999768045
47,308,308,308,308,288,288,47.831,13.0644,47.80000000000023,13.1000000000001,0.035600000000099996
48,316,316,316,316,288,288,47.5505,14.0167,47.60000000000022,14.000000000000096,0.049500000000222144
49,318,318,318,318,288,288,47.3945,16.0816,47.40000000000022,16.10000000000009,0.018400000000088568
50,336,336,336,336,288,288,47.2566,11.3508,47.30000000000022,11.400000000000103,0.04920000000010383
51,363,363,363,363,288,288,47.8491,16.1834,47.80000000000023,16.20000000000009,0.04909999999976833
52,368,368,368,368,288,288,47.3569,11.7059,47.40000000000022,11.700000000000104,0.043100000000215744
53,370,370,370,370,288,288,47.3052,11.0789,47.30000000000022,11.100000000000106,0.021100000000105368
54,379,379,379,379,288,288,46.9292,14.8428,46.90000000000021,14.800000000000091,0.04279999999990913
